Profile: i1k conc64 decode: MI355X(MXFP4) vs B200(NVFP4),,,,,,,,,,,,,,,,,,,,,,,,
MI355X trace: in1024_out16_conc64_p128-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,
B200 trace: in1024_out16_conc64_p128-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 136.12 ms (overlap 1.00x) | B200 102.77 ms (overlap 1.21x) | B200/MI355X = 76%",,,,,,,,,,,,,,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,,,,,,,,,,,,,
,prepare_mlp,(self),,,,,7.7,"void flashinfer::trtllm_mnnvl_allreduce::rmsNormLamport<__nv_bfloat16, __nv_bfloat16, 1>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16 const*, float, float, __nv_bfloat16 const*, unsigned int, unsigned int, unsigned int, unsigned int*)",,/sgl-workspace/sglang/python/sglang/srt/layers/flashinfer_comm_fusion.py(720): flashinfer_allreduce_residual_rmsnorm,,,,,,,,,,,,,,
,prepare_mlp,(self),,,,,13.601,nvjet_sm100_tst_64x64_64x13_4x1_v_bz_TNT,,,,,,,,,,,,,,,,
,prepare_mlp,Subtotal,,,,19.155,28.133,,147%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,MergedColumnParallelLinear,3,0,hgemm_bf16_64x64x128x4_SPK2_W2x2x2_BLDS1_TN_AS1_0,24.119,,,python/sglang/srt/layers/quantization/unquant.py(181): apply,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,SiluAndMul,3,0,_ZN7sgl_hip10activation18act_and_mul_kernelI14__hip_bfloat16TnPFT_RKS3_EXadL_Z4siluIS2_ES3_S5_EEEEvPS3_PS4_i,4.127,3.285,"void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)0, true, false>((anonymous namespace)::ActivationParams)",python/sglang/srt/layers/activation.py(102): forward_cuda,/sgl-workspace/sglang/python/sglang/jit_kernel/activation.py(57): _run_activation_inplace,,,,,,,,,,,,,,
,DeepseekV2MLP,(self),,,,,4.991,nvjet_sm100_tst_48x64_64x15_4x1_v_bz_TNN,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,RowParallelLinear,3,0,hgemm_bf16_32x64x256x3_SPK1_W1x2x2_BLDS1_TN_AS1_0,13.858,,,python/sglang/srt/layers/quantization/unquant.py(181): apply,,,,,,,,,,,,,,,
,DeepseekV2MLP,Subtotal,,,,42.104,8.276,,20%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,prepare_attn_and_capture_last_layer_outputs,core.py(1504),75,0,_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi4EEEvPNS_8RankDataENS_11RankSignalsEPNS_6SignalEiiii,14.668,,,python/sglang/srt/distributed/parallel_state.py(685): fused_allreduce_rmsnorm,,,,,,,,,,,,,,,
,,,,1,_ZN5aiter25local_device_load_rmsnormIDF16bLi512ELi2ELb0EEEvNS_11RankSignalsEPT_S3_S3_S3_fiiii,4.487,,,python/sglang/srt/distributed/parallel_state.py(685): fused_allreduce_rmsnorm,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,prepare_attn_and_capture_last_layer_outputs,trtllm_mnnvl_ar.py(265),75,0,,,6.832,"void flashinfer::trtllm_mnnvl_allreduce::twoshotAllreduceKernel<(unsigned char)4, __nv_bfloat16, float4>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16**, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, unsigned int*, bool)",,/sgl-workspace/sglang/python/sglang/srt/layers/flashinfer_comm_fusion.py(720): flashinfer_allreduce_residual_rmsnorm,,,,,,,,,,,,,,
,prepare_attn_and_capture_last_layer_outputs,(self),,,,,7.7,"void flashinfer::trtllm_mnnvl_allreduce::rmsNormLamport<__nv_bfloat16, __nv_bfloat16, 1>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16 const*, float, float, __nv_bfloat16 const*, unsigned int, unsigned int, unsigned int, unsigned int*)",,/sgl-workspace/sglang/python/sglang/srt/layers/flashinfer_comm_fusion.py(720): flashinfer_allreduce_residual_rmsnorm,,,,,,,,,,,,,,
,prepare_attn_and_capture_last_layer_outputs,Subtotal,,,,19.155,14.532,,76%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2AttentionMLA,ReplicatedLinear,75,0,hgemm_bf16_32x64x64x7_SPK3_W1x2x1_BLDS1_TN_AS1_0,15.809,14.27,nvjet_sm100_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT,python/sglang/srt/layers/quantization/unquant.py(181): apply,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,3.414,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2AttentionMLA,core.py(1504),75,0,_ZN5aiter23fused_qk_rmsnorm_kernelIDF16bLi256ELi8ELb1ELi1EEEvPT_S2_PKS1_S4_S4_S4_ffiiiiiii,4.091,,,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(129): fused_qk_rmsnorm_bf16,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2AttentionMLA,ColumnParallelLinear,75,0,hgemm_bf16_16x64x128x4_SPK1_W1x1x2_BLDS1_TN_AS1_0,8.473,,,python/sglang/srt/layers/quantization/unquant.py(181): apply,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2AttentionMLA,batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant.py(13),75,0,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_64_BLOCK_SIZE_N_256_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_0_EVEN_MN_1_cache_modifier_CG,7.339,,,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(259): forward_absorb_prepare,,,,,,,,,,,,,,,
